Label,Label2,SrcIP,SrcPort,DstIP,DstPort,Protocol,FlowDuration,TotalFwdPacket,TotalBwdpackets,TotalLengthofFwdPacket,TotalLengthofBwdPacket,FwdPacketLengthMax,FwdPacketLengthMin,BwdPacketLengthMax,BwdPacketLengthMin,FlowBytess,FlowPacketss,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMax,BwdIATMin,FwdPSHFlags,FwdHeaderLength,BwdHeaderLength,FwdPacketss,BwdPacketss,PacketLengthMin,PacketLengthMax,FINFlagCount,SYNFlagCount,RSTFlagCount,PSHFlagCount,ACKFlagCount,AveragePacketSize,FwdSegmentSizeAvg,BwdSegmentSizeAvg,BwdPacketBulkAvg,BwdBulkRateAvg,FWDInitWinBytes,BwdInitWinBytes,FwdActDataPkts,FwdSegSizeMin
Non-Tor,AUDIO-STREAMING,10.152.152.11,34697,173.194.65.127,19305,6,10778451,591,400,64530,6659,131,0,498,0,660475239,9194271051,78158,13,10778451,81171,126,10747836,78158,307,1,11820,8000,5483162655,3711108396,0,498,1,0,0,659,991,7194853683,1091878173,166475,659,6605,1382,2320,581,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,54570,173.194.65.127,443,6,421362,5,3,72,79,72,0,79,0,3583616937,1898605,416869,13,421362,417054,190,417945,416869,1076,0,112,72,1186628125,711976875,0,79,1,2,0,2,7,18875,144,2633333333,0,0,14600,913,1,20
Non-Tor,AUDIO-STREAMING,173.194.33.97,443,10.152.152.11,56254,6,119682119,488,487,89259,314105,1460,0,1460,0,3370294605,8146580359,13485507,2,119642787,13485507,5,119028043,13522678,18,0,9760,9740,4077467913,4069112446,0,1460,0,0,0,403,975,4137066667,1829077869,6449794661,44,9225,12108,9520,209,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,57361,216.58.216.142,443,6,116996934,369,378,208796,34340,1460,0,1460,0,2078139928,6384782699,7800200,5,116996398,7800456,31,116996466,7800557,7,0,7380,7560,3153928803,3230853896,0,1460,0,0,0,307,747,327437751,5658428184,9084656085,25,4949,21142,8323,268,20
Non-Tor,AUDIO-STREAMING,74.125.28.189,443,10.152.152.11,44097,6,100279453,61,60,14526,17870,996,0,1460,0,3230572069,1206628042,29069708,7,100279453,29069708,12,100240150,29109291,30,1,1220,1200,608300087,598327955,0,1460,0,0,0,54,121,2717438017,2381311475,2978333333,11,4300,2640,3346,31,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,34702,173.194.65.127,19305,6,119962833,3638,3157,254101,488658,190,0,1460,0,6191576019,5664254361,151388,9,119962833,151768,87,119940995,161775,61,0,72772,63152,3032605941,2631648421,0,1460,0,2,0,4425,6794,1093096394,6984634415,1547855559,4427,6193,14600,5292,2775,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,49132,74.125.136.120,443,6,90513641,32,41,3369,21725,261,0,1460,0,2772399798,80650827,45055648,5,90513169,45056049,276,90513350,45056120,5,1,640,820,353537872,452970398,0,1460,0,0,0,34,73,3473287671,10528125,5298780488,45,56568,2640,1918,20,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,34481,173.194.33.105,443,6,106135081,30,30,22289,680,1460,0,186,0,2164128937,565317324,45039110,13,106134649,45039483,49,106134727,45039328,13,0,600,600,282658662,282658662,0,1460,0,0,0,20,60,40715,7429666667,2266666667,14,11207,2640,2970,20,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,50953,74.125.136.188,5228,6,90112487,3,3,0,0,0,0,0,0,0,66583447,45055666,392,90112018,45056058,45055960,90112045,45056135,45055910,0,60,60,33291724,33291724,0,0,0,0,0,0,6,0,0,0,0,0,2373,1315,0,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,41313,173.194.33.118,443,6,86022308,9,9,2879,1060,1460,0,498,0,4579044775,209248048,45055326,16,86021950,45055941,45,86021693,45055851,16,0,180,180,104624024,104624024,0,1460,0,0,0,6,18,2188333333,3198888889,1177777778,7,3848,14626,5386,4,20
